id,asset,year,scenario,period_block_start,period_block_end,solution
367,hydro_reservoir,2030,1,2,2,202.77948089918868
368,hydro_reservoir,2030,1,3,3,202.40369791635982
369,hydro_reservoir,2030,1,4,4,202.48126294014435
370,hydro_reservoir,2030,1,5,5,202.5193563595129
371,hydro_reservoir,2030,1,6,6,203.5262521747779
372,hydro_reservoir,2030,1,7,7,204.4653680185254
373,hydro_reservoir,2030,1,8,8,205.2819856543988
374,hydro_reservoir,2030,1,9,9,206.68186067546264
375,hydro_reservoir,2030,1,10,10,208.12582694374902
376,hydro_reservoir,2030,1,11,11,208.99050759088198
377,hydro_reservoir,2030,1,12,12,210.393374773806
378,hydro_reservoir,2030,1,13,13,211.90879542512337
379,hydro_reservoir,2030,1,14,14,212.04945965285472
380,hydro_reservoir,2030,1,15,15,212.1747286728237
381,hydro_reservoir,2030,1,16,16,212.48624395007332
382,hydro_reservoir,2030,1,17,17,212.80544358477133
383,hydro_reservoir,2030,1,18,18,213.8309729333039
384,hydro_reservoir,2030,1,19,19,214.19822064669464
385,hydro_reservoir,2030,1,20,20,215.2803815605932
386,hydro_reservoir,2030,1,21,21,216.66370573478665
387,hydro_reservoir,2030,1,22,22,217.0835867859906
388,hydro_reservoir,2030,1,23,23,218.1722642356163
389,hydro_reservoir,2030,1,24,24,218.28152992399285
390,hydro_reservoir,2030,1,25,25,219.18641723655887
391,hydro_reservoir,2030,1,26,26,220.28968577769118
392,hydro_reservoir,2030,1,27,27,220.39282268168407
393,hydro_reservoir,2030,1,28,28,221.4520390975896
394,hydro_reservoir,2030,1,29,29,221.64309550681807
395,hydro_reservoir,2030,1,30,30,222.87287686253146
396,hydro_reservoir,2030,1,31,31,224.21377238271197
397,hydro_reservoir,2030,1,32,32,224.8532136211462
398,hydro_reservoir,2030,1,33,33,225.40929357023532
399,hydro_reservoir,2030,1,34,34,225.02872382525885
400,hydro_reservoir,2030,1,35,35,225.52358017470885
401,hydro_reservoir,2030,1,36,36,225.343368272005
402,hydro_reservoir,2030,1,37,37,225.6170141005232
403,hydro_reservoir,2030,1,38,38,226.037955731563
404,hydro_reservoir,2030,1,39,39,226.75261336165255
405,hydro_reservoir,2030,1,40,40,226.8997700561193
406,hydro_reservoir,2030,1,41,41,226.81686213318272
407,hydro_reservoir,2030,1,42,42,227.38137303912697
408,hydro_reservoir,2030,1,43,43,226.66515437410715
409,hydro_reservoir,2030,1,44,44,226.43745493446926
410,hydro_reservoir,2030,1,45,45,227.3205487090526
411,hydro_reservoir,2030,1,46,46,227.90767550516526
412,hydro_reservoir,2030,1,47,47,228.21734875248643
413,hydro_reservoir,2030,1,48,48,228.7288137446416
414,hydro_reservoir,2030,1,49,49,229.09509572256985
415,hydro_reservoir,2030,1,50,50,229.5576754895566
416,hydro_reservoir,2030,1,51,51,229.6232524875647
417,hydro_reservoir,2030,1,52,52,229.1505320416671
418,hydro_reservoir,2030,1,53,53,229.73194897871576
419,hydro_reservoir,2030,1,54,54,229.79246406554662
420,hydro_reservoir,2030,1,55,55,230.9852590427786
421,hydro_reservoir,2030,1,56,56,232.45151359984314
422,hydro_reservoir,2030,1,57,57,233.78005515908555
423,hydro_reservoir,2030,1,58,58,234.72037450758435
424,hydro_reservoir,2030,1,59,59,235.68659901040957
425,hydro_reservoir,2030,1,60,60,236.593900069559
426,hydro_reservoir,2030,1,61,61,236.92749413736203
427,hydro_reservoir,2030,1,62,62,238.36266244541767
428,hydro_reservoir,2030,1,63,63,239.7222539234476
429,hydro_reservoir,2030,1,64,64,240.84086432452128
430,hydro_reservoir,2030,1,65,65,240.87520923550744
431,hydro_reservoir,2030,1,66,66,241.12441801792687
432,hydro_reservoir,2030,1,67,67,241.91245039623206
433,hydro_reservoir,2030,1,68,68,242.17261632859402
434,hydro_reservoir,2030,1,69,69,243.3040056298362
435,hydro_reservoir,2030,1,70,70,244.06462432426855
436,hydro_reservoir,2030,1,71,71,244.96161031006486
437,hydro_reservoir,2030,1,72,72,245.52413974031307
438,hydro_reservoir,2030,1,73,73,245.283136988193
439,hydro_reservoir,2030,1,74,74,245.40387898696898
440,hydro_reservoir,2030,1,75,75,245.00734226552095
441,hydro_reservoir,2030,1,76,76,245.3866768105194
442,hydro_reservoir,2030,1,77,77,245.80518174649308
443,hydro_reservoir,2030,1,78,78,245.5875981127186
444,hydro_reservoir,2030,1,79,79,244.92445644428594
445,hydro_reservoir,2030,1,80,80,244.34862443657394
446,hydro_reservoir,2030,1,81,81,244.45218157442974
447,hydro_reservoir,2030,1,82,82,244.86645165854023
448,hydro_reservoir,2030,1,83,83,244.97815386835867
449,hydro_reservoir,2030,1,84,84,244.8937090729293
450,hydro_reservoir,2030,1,85,85,244.25945548392266
451,hydro_reservoir,2030,1,86,86,244.3371658799212
452,hydro_reservoir,2030,1,87,87,243.54546847686146
453,hydro_reservoir,2030,1,88,88,244.30364488094708
454,hydro_reservoir,2030,1,89,89,245.06718512843906
455,hydro_reservoir,2030,1,90,90,245.827212821213
456,hydro_reservoir,2030,1,91,91,246.56068235625216
457,hydro_reservoir,2030,1,92,92,246.81804965495243
458,hydro_reservoir,2030,1,93,93,246.78590134996634
