base_name,rp,n_experiment,time_to_cluster_mean,time_to_read_mean,time_to_create_mean,time_to_solve_mean,time_to_save_mean,total_time_mean,rel_regret_mean,num_loss_of_load_e_demand_mean,loss_of_load_e_demand_mean
convex_cross,150,3,99.1908597,0.485766,1.0369749,0.3645437,0.1102434,101.1883877,0.34628083173804153,29.0,0.6639947639786226
convex_cross,300,3,184.0171517,0.7873403,1.5952419,0.7198467,0.2206915,187.3402721,0.061741053613952386,10.0,0.12505589608017864
convex_cross,450,3,308.5159668,0.8997458,2.2499442,1.4884087,0.3287065,313.482772,0.03591421002861808,5.0,0.0732127376153946
convex_per,20,3,3.4928098,0.3725204,0.7589339,0.0309181,0.0230645,4.6782467,0.7894532558207978,80.0,1.5064852740793817
convex_per,40,3,4.0904264,0.4823492,0.9329301,0.0524587,0.0363863,5.5945507,2.9781734259177925,216.0,5.641802107832175
convex_per,60,3,6.9588446,0.5024585,1.0903701,0.1004112,0.0542179,8.706302299999999,2.9676159884167213,213.0,5.621817593600773
convex_per,80,3,11.1051747,0.449554,1.0226754,0.1625168,0.0591968,12.7991177,0.2488213476726153,15.0,0.4766453292741586
convex_per,100,3,11.5669516,0.5540557,1.1928574,0.2400625,0.0751793,13.629106499999999,0.2498593261051745,15.0,0.47858829109544243
convex_per,150,3,17.6478063,0.621275,1.3248716,0.5144588,0.1131158,20.2215275,0.2531596206351463,15.0,0.4847124629711266
convex_per,300,3,36.8931689,0.5545833,1.5515793,0.9391547,0.2027853,40.1412715,0.25637561049553276,15.0,0.49078175796985035
convex_per,450,3,53.749622,0.7892154,2.0677487,1.4864872,0.3259594,58.41903270000001,0.028974734621995,3.0,0.05779401273958218
conicalb_cross,20,3,21.4590658,0.4183482,0.8434058,0.0210625,0.0224331,22.7643154,0.27560636939192334,17.0,0.525034323281754
conicalb_cross,40,3,36.4189613,0.4595502,0.9295893,0.0449897,0.0468991,37.899989600000005,0.26537932079686954,16.0,0.5063340314906277
conicalb_cross,60,3,47.7408239,0.3957549,0.8159495,0.0759068,0.0606929,49.089128,0.2716540238470038,16.0,0.5178295816736962
conicalb_cross,80,3,58.6446304,0.4635023,0.9472612,0.117877,0.0595186,60.232789499999996,0.2705631385240805,16.0,0.5158419564115779
conicalb_cross,100,3,70.9028094,0.4615014,1.0554052,0.1866773,0.0713674,72.6777607,0.26884993061056334,16.0,0.5128757579937309
conicalb_cross,150,3,97.9749685,0.5236133,1.0433949,0.2255785,0.1164614,99.8840166,0.2704357125907063,16.0,0.5158419564115779
conicalb_cross,300,3,202.2122266,0.7970003,1.6735129,0.7405368,0.2061227,205.62939930000002,0.027568495053257265,3.0,0.05460280989377364
conicalb_cross,450,3,301.4772279,0.9341909,2.2949026,1.5186491,0.3371731,306.56214359999996,0.02767132320622306,3.0,0.05500126624532964
conicalb_per,20,3,3.7488375,0.424586,0.8032387,0.039803,0.0254319,5.0418971,15.503416058448721,788.0,29.255900491717163
conicalb_per,40,3,5.8081078,0.473541,0.8691118,0.0655973,0.0390861,7.255444,0.6867835783048638,74.0,1.3134018530808207
conicalb_per,60,3,11.2985175,0.4371894,0.8480551,0.1208555,0.0477042,12.7523217,0.7037865358262178,75.0,1.3450598151187056
conicalb_per,80,3,11.3132108,0.4839131,0.9301325,0.1660214,0.0620504,12.955328200000002,0.0042818936081288955,1.0,0.008811898481372094
conicalb_per,100,3,14.3847436,0.5370906,1.0771591,0.2308686,0.0737239,16.3035858,0.004522337464317546,1.0,0.009186800710792475
conicalb_per,150,3,20.170468,0.5034832,1.1450863,0.4272403,0.1227282,22.369006000000002,0.004569327248471806,1.0,0.009302671186407485
conicalb_per,300,3,42.0197449,0.6089395,1.5066266,1.0414237,0.2030725,45.379807199999995,0.005097834677834222,1.0,0.0103386064129658
conicalb_per,450,3,59.8722515,0.8024714,2.1873531,1.5088979,0.3516572,64.7226311,0.005255175637934617,1.0,0.01064185488464231
0_HourlyBenchmark,1,4,0.0,5.1774644,13.0093196,21.6048907,5.1482186,44.9398933,0.0,0.0,0.0
convex_cross,20,4,19.7226077,0.3629265,0.7329167,0.0257222,0.021585,20.865758100000004,0.689428018503727,66.0,1.3028387116704825
convex_cross,40,4,31.8894936,0.491061,0.8648483,0.0526296,0.0349036,33.332936100000005,0.6934822817144002,66.0,1.3103602151860383
convex_cross,60,4,45.9370709,0.4377357,0.8057367,0.1450726,0.0514787,47.37709459999999,0.693620434529111,66.0,1.3103602151860383
convex_cross,80,4,59.5609465,0.5152493,0.9668947,0.2789517,0.0640278,61.38607,0.693620434529111,66.0,1.3103602151860383
convex_cross,100,4,74.0456258,0.5017334,1.0546866,0.2890925,0.071486,75.96262429999999,0.6960401826684836,66.0,1.3151795199348102
convex_cross,150,4,98.2127353,0.5077858,0.9932568,0.609136,0.1104564,100.4333703,0.694899195243726,66.0,1.313304488554863
convex_cross,300,4,203.2868016,0.8463858,1.7667741,0.9983133,0.2080654,207.1063402,0.6980178482062517,66.0,1.3190695109807402
convex_cross,450,4,349.9817215,1.0231109,2.3572094,2.3803381,0.3222382,356.0646181,0.14643188127075565,24.0,0.28495366147422296
convex_per,20,4,3.4591702,0.4144434,0.7707773,0.0308831,0.029876,4.70515,0.06128250314597316,6.0,0.0686665730594076
convex_per,40,4,4.6070329,0.4668114,0.8911522,0.0593796,0.0367952,6.0611713,0.6829826027616486,66.0,1.2909747365638449
convex_per,60,4,7.098723,0.5251928,0.9675943,0.1015456,0.051966,8.7450217,0.3677775249042747,42.0,0.7009211727088707
convex_per,80,4,11.8740267,0.480011,0.8658455,0.1882473,0.0630569,13.4711874,0.6971809348803297,66.0,1.3173925499790171
convex_per,100,4,12.1913018,0.5260063,0.9893068,0.3052279,0.0732516,14.085094400000001,0.6956187653871313,66.0,1.3145584406707618
convex_per,150,4,19.1420922,0.6520112,1.1928233,0.3926955,0.2441559,21.6237781,0.6972539570832722,66.0,1.3176189029385563
convex_per,300,4,40.5610496,0.8434794,1.7243665,0.9331214,0.3192603,44.3812772,0.651748685991503,64.0,1.232329098989584
convex_per,450,4,56.0685717,0.8402732,2.3745641,1.6985911,0.3154091,61.2974092,0.1473559390759658,25.0,0.2863203611081442
conicalb_cross,20,4,24.5303227,0.4409022,0.8409022,0.0260824,0.0218194,25.860028899999996,0.6934822817144002,66.0,1.3103602151860383
conicalb_cross,40,4,33.0875189,0.5242232,0.9571189,0.0706401,0.0348061,34.674307199999994,0.6950883450725037,66.0,1.313335416166055
conicalb_cross,60,4,45.8741731,0.5184419,0.9168707,0.1075523,0.0505521,47.467590099999995,0.7046187150737382,67.0,1.330800377609101
conicalb_cross,80,4,56.8716351,0.4502741,0.8374496,0.2274473,0.0679944,58.454800500000005,0.7016200247882579,67.0,1.325411163395799
conicalb_cross,100,4,65.9847578,0.462165,1.0135834,0.305176,0.0873556,67.8530378,0.7105655842371574,67.0,1.341898439351596
conicalb_cross,150,4,89.9324217,0.5625554,1.2623882,0.4273759,0.108619,92.29336020000001,0.705358381501367,67.0,1.3323636224555773
