base_name,rp,n_experiment,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,reduced_num_lol,reduced_lol,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,loss_of_load_e_demand
0_HourlyBenchmark,1,3,Gurobi,0.0,5.8705571,14.1176926,18.9931426,5.0212903,565.30990536903,OPTIMAL,0,0.0,613200,525605,0.0,0.0,,0,0.0
convex_cross,20,3,Gurobi,18.6566503,0.3793653,0.729107,0.0273324,0.0221076,564.3024206563716,OPTIMAL,0,0.0,3360,2885,0.6022496,3274.3139185566415,OPTIMAL,324,9.062161293642433
convex_cross,40,3,Gurobi,37.1976479,0.4606788,0.9750979,0.0710563,0.0429739,566.9946206735034,OPTIMAL,0,0.0,6720,5765,0.1782755,758.6480701902776,OPTIMAL,28,0.6557651485680105
convex_cross,60,3,Gurobi,52.2836872,0.3954186,0.9099955,0.1278514,0.0466501,562.0475381420728,OPTIMAL,0,0.0,10080,8645,0.1498312,761.1663854721429,OPTIMAL,29,0.6639947639786226
convex_cross,80,3,Gurobi,62.7988897,0.4619037,0.9462669,0.1956319,0.0594927,564.6371210373098,OPTIMAL,0,0.0,13440,11525,0.1503105,760.4555736534575,OPTIMAL,29,0.6616758157585485
convex_cross,100,3,Gurobi,70.4111339,0.4653704,1.0508115,0.2670199,0.0746897,565.3733037676143,OPTIMAL,0,0.0,16800,14405,0.1487927,758.1665258611981,OPTIMAL,28,0.6542691841460022
convex_cross,150,3,Gurobi,99.1908597,0.485766,1.0369749,0.3645437,0.1102434,562.2875156208586,OPTIMAL,0,0.0,25200,21605,0.2113877,761.0658895899713,OPTIMAL,29,0.6639947639786226
convex_cross,300,3,Gurobi,184.0171517,0.7873403,1.5952419,0.7198467,0.2206915,564.7261753044575,OPTIMAL,0,0.0,50400,43205,0.1570393,600.2127345449177,OPTIMAL,10,0.12505589608017864
convex_cross,450,3,Gurobi,308.5159668,0.8997458,2.2499442,1.4884087,0.3287065,564.2410796949596,OPTIMAL,0,0.0,75600,64805,0.1614352,585.6125640417116,OPTIMAL,5,0.0732127376153946
convex_per,20,3,Gurobi,3.4928098,0.3725204,0.7589339,0.0309181,0.0230645,514.6912043690828,OPTIMAL,0,0.0,3360,2885,0.1502453,1011.595650710358,OPTIMAL,80,1.5064852740793817
convex_per,40,3,Gurobi,4.0904264,0.4823492,0.9329301,0.0524587,0.0363863,539.3555832326905,OPTIMAL,0,0.0,6720,5765,0.1583135,2248.9008429471774,OPTIMAL,216,5.641802107832175
convex_per,60,3,Gurobi,6.9588446,0.5024585,1.0903701,0.1004112,0.0542179,550.2087247871336,OPTIMAL,0,0.0,10080,8645,0.1487614,2242.9326189525073,OPTIMAL,213,5.621817593600773
convex_per,80,3,Gurobi,11.1051747,0.449554,1.0226754,0.1625168,0.0591968,562.0528793271261,OPTIMAL,0,0.0,13440,11525,0.1465246,705.9710778756307,OPTIMAL,15,0.4766453292741586
convex_per,100,3,Gurobi,11.5669516,0.5540557,1.1928574,0.2400625,0.0751793,563.9234666770926,OPTIMAL,0,0.0,16800,14405,0.1440416,706.5578573651159,OPTIMAL,15,0.47858829109544243
convex_per,150,3,Gurobi,17.6478063,0.621275,1.3248716,0.5144588,0.1131158,563.5743049717748,OPTIMAL,0,0.0,25200,21605,0.1404799,708.4235465535442,OPTIMAL,15,0.4847124629711266
convex_per,300,3,Gurobi,36.8931689,0.5545833,1.5515793,0.9391547,0.2027853,565.3214996947917,OPTIMAL,0,0.0,50400,43205,0.1457252,710.241577477187,OPTIMAL,15,0.49078175796985035
convex_per,450,3,Gurobi,53.749622,0.7892154,2.0677487,1.4864872,0.3259594,566.042577294744,OPTIMAL,0,0.0,75600,64805,0.1396868,581.6896098562828,OPTIMAL,3,0.05779401273958218
conicalb_cross,20,3,Gurobi,21.4590658,0.4183482,0.8434058,0.0210625,0.0224331,554.8467548464023,OPTIMAL,0,0.0,3360,2885,0.1741335,721.1129159690802,OPTIMAL,17,0.525034323281754
conicalb_cross,40,3,Gurobi,36.4189613,0.4595502,0.9295893,0.0449897,0.0468991,555.9849206775494,OPTIMAL,0,0.0,6720,5765,0.1459333,715.3314640956058,OPTIMAL,16,0.5063340314906277
conicalb_cross,60,3,Gurobi,47.7408239,0.3957549,0.8159495,0.0759068,0.0606929,557.9058596015575,OPTIMAL,0,0.0,10080,8645,0.1551533,718.878615883096,OPTIMAL,16,0.5178295816736962
conicalb_cross,80,3,Gurobi,58.6446304,0.4635023,0.9472612,0.117877,0.0595186,556.3651510198104,OPTIMAL,0,0.0,13440,11525,0.2008719,718.2619276044258,OPTIMAL,16,0.5158419564115779
conicalb_cross,100,3,Gurobi,70.9028094,0.4615014,1.0554052,0.1866773,0.0713674,556.8044772029585,OPTIMAL,0,0.0,16800,14405,0.1504572,717.2934342009579,OPTIMAL,16,0.5128757579937309
conicalb_cross,150,3,Gurobi,97.9749685,0.5236133,1.0433949,0.2255785,0.1164614,555.890445239947,OPTIMAL,0,0.0,25200,21605,0.1397887,718.1898924620884,OPTIMAL,16,0.5158419564115779
